status,product_area,response,justification,request_type,issue,subject,company
escalated,Access Management,"I am unable to restore your access to the Claude team workspace. Access management, including inviting members and assigning roles, is handled exclusively by your organization's Admins. Please contact your organization's Admin to request that your access be reinstated.",The support corpus states that only organization Admins can manage Console members and invitations. I do not have the authority to override these permissions or restore access for a non-admin user.,product_issue,"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude
replied,Assessments,"Thank you for reaching out. Please note that HackerRank provides the assessment platform to companies, but we do not participate in the hiring decision-making process, nor do we have the authority to review individual candidate answers, adjust scores, or influence a company's recruitment decisions. You will need to contact the hiring company directly regarding your application status and feedback.",The corpus indicates that HackerRank assessments are managed by the hiring company and that HackerRank provides the platform for screening; it does not provide support for individual candidate score disputes or hiring decisions.,product_issue,"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank
replied,Dispute Resolution,"If you have an issue with a transaction, please contact your card issuer to initiate a dispute. Visa provides an efficient process for settling disputes, and your issuer will guide you through the necessary steps to resolve the matter.","The corpus states that cardholders should contact their issuer to question a charge and that for further information about dispute rules or practices, one should contact their acquirer/processor.",product_issue,"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa
replied,Mock Interviews,"I am sorry to hear that your mock interview was interrupted. If you are not satisfied with your mock interview experience, please contact help@hackerrank.com. Our support team will promptly review your request regarding your refund.","The support corpus explicitly states that for refund requests or dissatisfaction with a mock interview, users should contact help@hackerrank.com for a review.",product_issue,"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank
replied,Billing,"If your payment failed, please refresh the page and retry the payment. If any amount was deducted incorrectly, it will be refunded within 5–10 business days. If you require further assistance regarding a specific order, please contact support@hackerrank.com.","The corpus provides instructions for failed payments and mentions that incorrect deductions are refunded within 5-10 business days. Since the user provided a specific order ID, directing them to support is the appropriate next step.",product_issue,"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank
escalated,Security,I am unable to assist with filling out company-specific information security forms. Please contact your account manager or our sales team for assistance with security documentation.,"The provided corpus does not contain information regarding internal security forms or processes for external companies, and this request involves sensitive company-specific documentation.",invalid,"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank
replied,Practice Coding Challenges,"If you are unable to see your challenge results, please ensure you are logged into the same HackerRank Community account used to participate in the challenge. If you are experiencing issues with challenges not loading or showing an infinite processing message, please try closing and reopening the challenge window, using a different supported browser (Chrome, Firefox, or Edge), or checking your internet connection. If the issue persists, please contact support at help@hackerrank.com.","The support corpus provides specific troubleshooting steps for challenges not loading and missing results, which addresses the user's issue.",product_issue,"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank
replied,Coding Challenges,"I am sorry to hear you are experiencing issues with your submissions. Please try the following troubleshooting steps: 1. Close the challenge window and reopen it using the same link. 2. Open the challenge in another supported browser, such as the latest versions of Chrome, Firefox, or Edge. 3. Ensure your internet connection is stable. 4. Confirm you are logged in to the same HackerRank Community account you used to participate in the challenge. If you are still facing issues, please contact us at help@hackerrank.com.","The corpus provides specific troubleshooting steps for challenges not loading or results not appearing, and directs users to contact support if the issue persists.",product_issue,none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank
replied,Interviews,"To resolve connectivity issues with Zoom during your assessment, please ensure that the following URLs are safelisted in your network settings: zoom.us, *.zoom.us, *.*.zoom.us, twilio.com, twiliocdn.com, *.[twilio.com], *.*.[twilio.com], and *.[twiliocdn.com]. If the issue persists after updating your allowlist, please contact support@hackerrank.com for further assistance.","The support corpus explicitly lists the required URLs for Interviews, which include Zoom and Twilio, to ensure proper connectivity.",product_issue,"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank
escalated,Assessments,"I am sorry to hear about your situation. Unfortunately, I do not have the ability to reschedule candidate assessments directly. Please contact the recruiter or the company that invited you to the assessment to discuss rescheduling options.","The provided corpus only contains instructions for recruiters to reschedule interviews, not for candidates to reschedule assessments. As a support agent, I cannot perform this action for the candidate.",product_issue,"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",nan,HackerRank
